target,circuit,qubits,seconds,status,check_ok,state_bytes,cpu_count,gpu
qpp-cpu,ghz,10,0.0263,ok,True,16384,20,NVIDIA H100 80GB HBM3
qpp-cpu,ghz,11,0.0285,ok,True,32768,20,NVIDIA H100 80GB HBM3
qpp-cpu,ghz,12,0.0299,ok,True,65536,20,NVIDIA H100 80GB HBM3
qpp-cpu,ghz,13,0.0295,ok,True,131072,20,NVIDIA H100 80GB HBM3
qpp-cpu,ghz,14,0.0408,ok,True,262144,20,NVIDIA H100 80GB HBM3
qpp-cpu,ghz,15,0.0576,ok,True,524288,20,NVIDIA H100 80GB HBM3
qpp-cpu,ghz,16,0.0756,ok,True,1048576,20,NVIDIA H100 80GB HBM3
qpp-cpu,ghz,17,0.1111,ok,True,2097152,20,NVIDIA H100 80GB HBM3
qpp-cpu,ghz,18,0.17,ok,True,4194304,20,NVIDIA H100 80GB HBM3
qpp-cpu,ghz,19,0.3161,ok,True,8388608,20,NVIDIA H100 80GB HBM3
qpp-cpu,ghz,20,0.699,ok,True,16777216,20,NVIDIA H100 80GB HBM3
qpp-cpu,ghz,21,1.5922,ok,True,33554432,20,NVIDIA H100 80GB HBM3
qpp-cpu,ghz,22,3.2035,ok,True,67108864,20,NVIDIA H100 80GB HBM3
qpp-cpu,ghz,23,8.0455,ok,True,134217728,20,NVIDIA H100 80GB HBM3
qpp-cpu,ghz,24,16.2214,ok,True,268435456,20,NVIDIA H100 80GB HBM3
qpp-cpu,ghz,25,32.4949,ok,True,536870912,20,NVIDIA H100 80GB HBM3
qpp-cpu,ghz,26,67.4665,ok,True,1073741824,20,NVIDIA H100 80GB HBM3
qpp-cpu,ghz,27,141.9018,ok,True,2147483648,20,NVIDIA H100 80GB HBM3
qpp-cpu,qft,10,0.0548,ok,True,16384,20,NVIDIA H100 80GB HBM3
qpp-cpu,qft,11,0.0678,ok,True,32768,20,NVIDIA H100 80GB HBM3
qpp-cpu,qft,12,0.0758,ok,True,65536,20,NVIDIA H100 80GB HBM3
qpp-cpu,qft,13,0.0975,ok,True,131072,20,NVIDIA H100 80GB HBM3
qpp-cpu,qft,14,0.1444,ok,True,262144,20,NVIDIA H100 80GB HBM3
qpp-cpu,qft,15,0.2002,ok,True,524288,20,NVIDIA H100 80GB HBM3
qpp-cpu,qft,16,0.3,ok,True,1048576,20,NVIDIA H100 80GB HBM3
qpp-cpu,qft,17,0.6292,ok,True,2097152,20,NVIDIA H100 80GB HBM3
qpp-cpu,qft,18,1.2898,ok,True,4194304,20,NVIDIA H100 80GB HBM3
qpp-cpu,qft,19,2.9557,ok,True,8388608,20,NVIDIA H100 80GB HBM3
qpp-cpu,qft,20,6.4831,ok,True,16777216,20,NVIDIA H100 80GB HBM3
qpp-cpu,qft,21,18.3718,ok,True,33554432,20,NVIDIA H100 80GB HBM3
qpp-cpu,qft,22,40.3545,ok,True,67108864,20,NVIDIA H100 80GB HBM3
qpp-cpu,qft,23,89.8912,ok,True,134217728,20,NVIDIA H100 80GB HBM3
qpp-cpu,qft,24,193.1672,ok,True,268435456,20,NVIDIA H100 80GB HBM3
qpp-cpu,random,10,0.1891,ok,True,16384,20,NVIDIA H100 80GB HBM3
qpp-cpu,random,11,0.1688,ok,True,32768,20,NVIDIA H100 80GB HBM3
qpp-cpu,random,12,0.2868,ok,True,65536,20,NVIDIA H100 80GB HBM3
qpp-cpu,random,13,0.3009,ok,True,131072,20,NVIDIA H100 80GB HBM3
qpp-cpu,random,14,0.3775,ok,True,262144,20,NVIDIA H100 80GB HBM3
qpp-cpu,random,15,0.503,ok,True,524288,20,NVIDIA H100 80GB HBM3
qpp-cpu,random,16,0.8949,ok,True,1048576,20,NVIDIA H100 80GB HBM3
qpp-cpu,random,17,1.8354,ok,True,2097152,20,NVIDIA H100 80GB HBM3
qpp-cpu,random,18,3.7627,ok,True,4194304,20,NVIDIA H100 80GB HBM3
qpp-cpu,random,19,7.3645,ok,True,8388608,20,NVIDIA H100 80GB HBM3
qpp-cpu,random,20,13.9826,ok,True,16777216,20,NVIDIA H100 80GB HBM3
qpp-cpu,random,21,35.401,ok,True,33554432,20,NVIDIA H100 80GB HBM3
qpp-cpu,random,22,90.0935,ok,True,67108864,20,NVIDIA H100 80GB HBM3
nvidia,ghz,10,0.0323,ok,True,8192,20,NVIDIA H100 80GB HBM3
nvidia,ghz,11,0.0294,ok,True,16384,20,NVIDIA H100 80GB HBM3
nvidia,ghz,12,0.0292,ok,True,32768,20,NVIDIA H100 80GB HBM3
nvidia,ghz,13,0.0296,ok,True,65536,20,NVIDIA H100 80GB HBM3
nvidia,ghz,14,0.0269,ok,True,131072,20,NVIDIA H100 80GB HBM3
nvidia,ghz,15,0.0275,ok,True,262144,20,NVIDIA H100 80GB HBM3
nvidia,ghz,16,0.0291,ok,True,524288,20,NVIDIA H100 80GB HBM3
nvidia,ghz,17,0.0306,ok,True,1048576,20,NVIDIA H100 80GB HBM3
nvidia,ghz,18,0.0303,ok,True,2097152,20,NVIDIA H100 80GB HBM3
nvidia,ghz,19,0.03,ok,True,4194304,20,NVIDIA H100 80GB HBM3
nvidia,ghz,20,0.0304,ok,True,8388608,20,NVIDIA H100 80GB HBM3
nvidia,ghz,21,0.0342,ok,True,16777216,20,NVIDIA H100 80GB HBM3
nvidia,ghz,22,0.033,ok,True,33554432,20,NVIDIA H100 80GB HBM3
nvidia,ghz,23,0.0326,ok,True,67108864,20,NVIDIA H100 80GB HBM3
nvidia,ghz,24,0.0317,ok,True,134217728,20,NVIDIA H100 80GB HBM3
nvidia,ghz,25,0.0329,ok,True,268435456,20,NVIDIA H100 80GB HBM3
nvidia,ghz,26,0.036,ok,True,536870912,20,NVIDIA H100 80GB HBM3
nvidia,ghz,27,0.0395,ok,True,1073741824,20,NVIDIA H100 80GB HBM3
nvidia,ghz,28,0.0459,ok,True,2147483648,20,NVIDIA H100 80GB HBM3
nvidia,ghz,29,0.0632,ok,True,4294967296,20,NVIDIA H100 80GB HBM3
nvidia,ghz,30,0.0924,ok,True,8589934592,20,NVIDIA H100 80GB HBM3
nvidia,ghz,31,0.2327,ok,True,17179869184,20,NVIDIA H100 80GB HBM3
nvidia,ghz,32,,skipped: state 32 GiB > memory 80 GiB,,34359738368,20,NVIDIA H100 80GB HBM3
nvidia,qft,10,0.0574,ok,True,8192,20,NVIDIA H100 80GB HBM3
nvidia,qft,11,0.052,ok,True,16384,20,NVIDIA H100 80GB HBM3
nvidia,qft,12,0.0581,ok,True,32768,20,NVIDIA H100 80GB HBM3
nvidia,qft,13,0.0626,ok,True,65536,20,NVIDIA H100 80GB HBM3
nvidia,qft,14,0.066,ok,True,131072,20,NVIDIA H100 80GB HBM3
nvidia,qft,15,0.0717,ok,True,262144,20,NVIDIA H100 80GB HBM3
nvidia,qft,16,0.0799,ok,True,524288,20,NVIDIA H100 80GB HBM3
nvidia,qft,17,0.1255,ok,True,1048576,20,NVIDIA H100 80GB HBM3
nvidia,qft,18,0.1417,ok,True,2097152,20,NVIDIA H100 80GB HBM3
nvidia,qft,19,0.1338,ok,True,4194304,20,NVIDIA H100 80GB HBM3
nvidia,qft,20,0.155,ok,True,8388608,20,NVIDIA H100 80GB HBM3
nvidia,qft,21,0.1344,ok,True,16777216,20,NVIDIA H100 80GB HBM3
nvidia,qft,22,0.2102,ok,True,33554432,20,NVIDIA H100 80GB HBM3
nvidia,qft,23,0.1712,ok,True,67108864,20,NVIDIA H100 80GB HBM3
nvidia,qft,24,0.2231,ok,True,134217728,20,NVIDIA H100 80GB HBM3
nvidia,qft,25,0.1632,ok,True,268435456,20,NVIDIA H100 80GB HBM3
nvidia,qft,26,0.2175,ok,True,536870912,20,NVIDIA H100 80GB HBM3
nvidia,qft,27,0.2767,ok,True,1073741824,20,NVIDIA H100 80GB HBM3
nvidia,qft,28,0.319,ok,True,2147483648,20,NVIDIA H100 80GB HBM3
nvidia,qft,29,0.2912,ok,True,4294967296,20,NVIDIA H100 80GB HBM3
nvidia,qft,30,0.4532,ok,True,8589934592,20,NVIDIA H100 80GB HBM3
nvidia,qft,31,0.7287,ok,True,17179869184,20,NVIDIA H100 80GB HBM3
nvidia,qft,32,,skipped: state 32 GiB > memory 80 GiB,,34359738368,20,NVIDIA H100 80GB HBM3
nvidia,random,10,0.1142,ok,True,8192,20,NVIDIA H100 80GB HBM3
nvidia,random,11,0.127,ok,True,16384,20,NVIDIA H100 80GB HBM3
nvidia,random,12,0.1369,ok,True,32768,20,NVIDIA H100 80GB HBM3
nvidia,random,13,0.2207,ok,True,65536,20,NVIDIA H100 80GB HBM3
nvidia,random,14,0.2573,ok,True,131072,20,NVIDIA H100 80GB HBM3
nvidia,random,15,0.1949,ok,True,262144,20,NVIDIA H100 80GB HBM3
nvidia,random,16,0.2071,ok,True,524288,20,NVIDIA H100 80GB HBM3
